4.676917729296067167e-04 1.096900447525176250e-05 3.670885792162112415e-04 4.816862987829326898e-04 2.354737619867531412e-04 7.338575176064465050e-04 1.049874706859849766e-02 2.940710173052057952e-04 2.313683101568837081e-04 1.097245229374961550e-02
1.158869573992191426e-01 1.038069573385751593e-01 4.339732468257530007e-01 3.696730007579815958e-01 1.127609429369669652e-01 9.310043106903982679e-02 6.414467082914242224e-02 1.136526566712489222e-01 9.736047699295902191e-02 5.752218798660505700e-04
1.158869573992191288e-01 1.019392003421953768e-01 9.658505288883073581e-02 9.535056361081040155e-02 1.127609429369669791e-01 9.310133027613914924e-02 6.414467082914243612e-02 1.136526566712489222e-01 9.835195233466390019e-02 1.892906175369557298e+00
1.158869566450888428e-01 1.038069573385751593e-01 9.658505288883072193e-02 9.535056361067222042e-02 1.127609429369669652e-01 9.310133027613913537e-02 6.414467082914242224e-02 2.230896512679640065e+00 9.835195233466390019e-02 1.627477875737894653e-01
4.676917729296067167e-04 1.096900447515808744e-05 3.670885792161140970e-04 4.816862987827366660e-04 2.354737619865623216e-04 7.338575176062504812e-04 1.049874706859840745e-02 2.940710173052162035e-04 2.313683101566668676e-04 1.097245229374942815e-02
4.676917729296032472e-04 1.096900447525154566e-05 3.670885792161132297e-04 4.816862987828528925e-04 2.354737619865597195e-04 7.338575176063476257e-04 1.049874706859851153e-02 2.940710173052170709e-04 2.313683101568819733e-04 1.097245229374963632e-02
4.676917729296067167e-04 1.096900447515613587e-05 3.670885792161149644e-04 4.816862987828528925e-04 2.354737619865623216e-04 7.338575176063510952e-04 1.049874706859851153e-02 2.940710173052205403e-04 2.313683101568871775e-04 1.097245229374962938e-02
1.158869573992191288e-01 1.038069573385751593e-01 9.658505288883070805e-02 9.535056361081038767e-02 1.127609429369543226e-01 9.310079266105232565e-02 6.414466721693161400e-02 3.779151072840464809e-01 3.354469534670806441e-02 1.484111931906141602e-01
1.147721066686034491e-01 1.038069573385751593e-01 9.658505288883072193e-02 9.535056361081038767e-02 3.305356400409316386e-02 9.310133027613913537e-02 6.414467082418692789e-02 1.156655484031706982e-01 5.960647610117293382e-01 1.627478048802947219e-01
1.158869573992191288e-01 1.030514321616968071e-01 9.658505288883072193e-02 9.535056360951725540e-02 2.220861772520056565e+00 8.426589417095180223e-02 6.414467082914221407e-02 1.136526566712489084e-01 9.835195233466391407e-02 1.627478048802945276e-01
